garde#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
caillouvian;Durocher;;;;;;;;;;;x
north_atlantic_anglophone;North Atlantic;;;;;;;;;;;x
lobsterfolk;Lobsterfolk;;;;;;;;;;;x
mexicano;Mexicano;;;;;;;;;;;x
chilangos;Chilango;;;;;;;;;;;x
ribereno;Jarocho;;;;;;;;;;;x
norteabajeno;Abajeño;;;;;;;;;;;x
sudabajeno;Calentano;;;;;;;;;;;x
fronterizo;Fronterizo;;;;;;;;;;;x
ocaseno;Tapatío;;;;;;;;;;;x
totonacan;Totonacan;;;;;;;;;;;x
totonac;Tu'tunáku';;;;;;;;;;;x
huastec;Téenek;;;;;;;;;;;x
chichimeca;Úza;;;;;;;;;;;x
pame;Xi'úi;;;;;;;;;;;x
mazahua;Jñatjo;;;;;;;;;;;x
chipilan;Cipilàn;;;;;;;;;;x
mascogo;Mascogo;;;;;;;;;;x
mixe-zoque;Mixe-Zoquean;;;;;;;;;;;x
mixe;Ayüük;;;;;;;;;;;x
zoque;Angpøn;;;;;;;;;;;x
oto-manguean;Oto-Manguean;;;;;;;;;;;x
mixtec;Ñuu Savi;;;;;;;;;;;x
popoloca;Ngiwa;;;;;;;;;;;x
zapotec;Binni záa;;;;;;;;;;;x
caracol;Caracol;;;;;;;;;;;x
otomi;Hñähñu;;;;;;;;;;;x
chatino;Cha'cña;;;;;;;;;;;x
chinatec;Jujmi;;;;;;;;;;;x
mazatec;Xitainíma;;;;;;;;;;;x
cuicatec;Dibaku;;;;;;;;;;;x
uto-aztecal;Nahuan;;;;;;;;;;;x
nahuatl;Nahua;;;;;;;;;;;x
yucatanense;Yucatanense;;;;;;;;;;;x
xeek;Xe'ek' Máaya';;;;;;;;;;;x
jakaltek;Popti';;;;;;;;;;;x
tojolabal;Tojol Ab'al;;;;;;;;;;;x
chuj;Koti';;;;;;;;;;;x
lacandon;Jacht'aan;;;;;;;;;;;x
chontal;Yokot'anjo;;;;;;;;;;;x
huavean;Huavean;;;;;;;;;;;x
huave;Kunajts;;;;;;;;;;;x
tarahumaran;Tarahumaran;;;;;;;;;;;x
raramuri;Rarámuri;;;;;;;;;;;x
tepehuan;Ódami;;;;;;;;;;;x
serian;Serian;;;;;;;;;;;x
seri;Comcaac;;;;;;;;;;;x
mexikanisch;Mexikanisch;;;;;;;;;;;x
cahitan;Cahitan;;;;;;;;;;;x
yaqui;Hiaki;;;;;;;;;;;x
mayo;Yoreme;;;;;;;;;;;x
corachol;Corachol;;;;;;;;;;;x
cora;Náayeri;;;;;;;;;;;x
huichol;Wixárika;;;;;;;;;;;x
purepechan;Purépechan;;;;;;;;;;;x
purepecha;P'urhépecha;;;;;;;;;;;x
jach;Jach Máaya';;;;;;;;;;;x
bileezian;Bileezian;;;;;;;;;;;x
arawakan;Arawakan;;;;;;;;;;;x
garifuna;Karif;;;;;;;;;;;
centroamericano;Centroamericano;;;;;;;;;;;x
chapin;Chapín;;;;;;;;;;;x
itza;Its Ja';;;;;;;;;;;x
salvadoran;Salvadoreño;;;;;;;;;;;x
misumalpan;Misumalpan;;;;;;;;;;;x
miskito;Miskito;;;;;;;;;;;x
mayangna;Mayangna;;;;;;;;;;;x
nica;Nica;;;;;;;;;;;x
lencan;Lencan;;;;;;;;;;;x
lenca;Potón;;;;;;;;;;;x
catracho;Catracho;;;;;;;;;;;x
mam;Mam;;;;;;;;;;;x
kekchi;Q'eqchi';;;;;;;;;;;x
ixil;Ixhil;;;;;;;;;;;x
kiche;K'iche';;;;;;;;;;;x
achi;Achi';;;;;;;;;;;x
pipil;Nawat;;;;;;;;;;;x
pokomchi;Poqomchii';;;;;;;;;;;x
chorti;Ch'orti';;;;;;;;;;;x
xincan;Xincan;;;;;;;;;;;x
xinka;Xinka;;;;;;;;;;;x
chibchan;Chibchan;;;;;;;;;;;x
pech;Pech;;;;;;;;;;;x
