d_jerseydevils;Band of the Gardenoids;;;;;;;;;;;;;x
d_jerseydevils_adj;Band of the Gardenoids;;;;;;;;;;;;;x
d_joker;Jokerz;;;;;;;;;;;;;x
d_joker_adj;Jokerz;;;;;;;;;;;;;x
d_everblades;Everblades;;;;;;;;;;;;;x
d_everblades_adj;Everblades;;;;;;;;;;;;;x
d_little_caesars;Legioncita de César;;;;;;;;;;;;;x
d_little_caesars_adj;Legioncita de César;;;;;;;;;;;;;x
d_mtf_mole;Mole Rats;;;;;;;;;;;;;x
d_mtf_mole_adj;Mole Rat;;;;;;;;;;;;;x
d_mtf_nine;Nine-Tailed Fox;;;;;;;;;;;;;x
d_mtf_nine_adj;Nine-Tailed Fox;;;;;;;;;;;;;x
d_kriegers;Death Korps;;;;;;;;;;;;;x
d_kriegers_adj;Death Korps;;;;;;;;;;;;;x
d_canada_army;Her Majesty's Most Royal Armed Forces;;;;;;;;;;;;;x
d_canada_army_adj;Her Majesty's Armed Force;;;;;;;;;;;;;x
d_puleski_legion;Pulaski's Legion;;;;;;;;;;;;;x
d_puleski_legion_adj;Pulaski's Legion;;;;;;;;;;;;;x
d_green_boys;Green Mountain Boys;;;;;;;;;;;;;x
d_green_boys_adj;Green Mountain Boy;;;;;;;;;;;;;x
d_hesse_comp;Hessian Company;;;;;;;;;;;;;x
d_hesse_comp_adj;Hessian;;;;;;;;;;;;;x
d_garibaldi_guard;Garibaldi Guard;;;;;;;;;;;;;x
d_garibaldi_guard_adj;Garibaldi;;;;;;;;;;;;;x
d_zagonyi;Zagonyi Hussars;;;;;;;;;;;;;x
d_zagonyi_adj;Zagonyi;;;;;;;;;;;;;x
d_hudson_comp;Hudson Bay Company;;;;;;;;;;;;;x
d_hudson_comp_adj;Hudson Bay Company;;;;;;;;;;;;;x
d_hook_pirates;Hook Pirates;;;;;;;;;;;;;x
d_hook_pirates_adj;Hook Pirate;;;;;;;;;;;;;x
d_black_pearl;Black Pearl Pirates;;;;;;;;;;;;;x
d_black_pearl_adj;Black Pearl;;;;;;;;;;;;;x
d_anne_revenge;Queen Anne's Revenge Pirates;;;;;;;;;;;;;x
d_anne_revenge_adj;Queen Anne's;;;;;;;;;;;;;x
d_assassin_kenway;Jackdaw Pirates;;;;;;;;;;;;;x
d_assassin_kenway_adj;Jackdaw;;;;;;;;;;;;;x
d_long_john_silver;Long Silver Pirates;;;;;;;;;;;;;x
d_long_john_silver_adj;Long Silver;;;;;;;;;;;;;x
d_new_courland;New Courland Company;;;;;;;;;;;;;x
d_new_courland_adj;New Courland;;;;;;;;;;;;;x
d_moby_dick;Pequod Fleet;;;;;;;;;;;;;x
d_moby_dick_adj;Pequod;;;;;;;;;;;;;x
d_order_of_the_silver_hand;Order of the Silver Hand;Ordre de la Main d'argent;Orden der Silbernen Hand;;Orden de la Mano de Plata;;;;;;;;;x
d_blood_eagles;Blood Eagles;;;;;;;;;;;;;x
d_blood_eagles_adj;Eagle;;;;;;;;;;;;;x
d_reyes_bancos;Reyes De Los Bancos;;;;;;;;;;;;;x
d_reyes_bancos_adj;Rey;;;;;;;;;;;;;x
d_jackals;Jackals;;;;;;;;;;;;;x
d_jackals_adj;Jackal;;;;;;;;;;;;;x
d_infinity_franchise;Infinity Franchise;;;;;;;;;;;;;x
d_infinity_franchise_adj;Infinity Franchise;;;;;;;;;;;;;x
