custom_usa;Historical United States of America;;;;;;;;;x
world_eastern_canada;Eastern Canada;;;;;;;;;x
world_central_canada;Central Canada;;;;;;;;;x
world_western_canada;Western Canada;;;;;;;;;x
world_appalachia;Appalachia;;;;;;;;;x
world_new_england;New England;;;;;;;;;x
world_northeast;US Northeast;;;;;;;;;x
world_southeast;Dixie;;;;;;;;;x
world_north_texas;North Texas;;;;;;;;;x
world_south_texas;South Texas;;;;;;;;;x
world_west_texas;West Texas;;;;;;;;;x
world_tejas;Tejas;;;;;;;;;x
world_mississippi;Mississippi;;;;;;;;;x
world_great_plainsUS;US Great Plains;;;;;;;;;x
world_steel_belt;Steel Belt;;;;;;;;;x
world_caribbean;Caribbean;;;;;;;;;x
world_rockies;The Rockies;;;;;;;;;x
world_southwest;American Southwest;;;;;;;;;x
world_south_america;South America;;;;;;;;;x
custom_atlantic;Atlantic Coast;;;;;;;;;x
custom_great_lakes;Great Lakes;;;;;;;;;x
custom_pacific;Pacific Coast;;;;;;;;;x
custom_mountain_zone;Mountainous Zone;;;;;;;;;x
custom_central_america;Central America;;;;;;;;;x
